772;23/03/11;IT;F;1;63;50;1;ROY ROGERS;Primavera - Estate 2011;Blu scuro;Donna;Bonifico Bancario;34;Jeans;
817;07/04/11;IT;F;1;63;50;1;ROY ROGERS;Primavera - Estate 2011;Blu scuro;Donna;Bonifico Bancario;27;Jeans;
1377;27/07/11;IT;F;1;63;50;1;ROY ROGERS;Primavera - Estate 2011;Blu scuro;Donna;PayPal;30;Jeans;
1958;15/11/11;IT;F;1;86;50;1;HEAVY PROJECT;Autunno - Inverno 2011;Denim medio;Donna;Bonifico Bancario;33;Jeans;
3242;04/04/12;IT;M;1;85;50;1;9.2;Primavera - Estate 2012;Denim chiaro;Uomo;PayPal;40;Jeans;
3304;11/04/12;IT;M;1;85;50;1;9.2;Primavera - Estate 2012;Denim chiaro;Uomo;Contrassegno;30;Jeans;
8628;02/02/13;IT;M;1;88;50;1;BURBERRY;Autunno - Inverno 2012-2013;Denim scuro;Donna;Carta di Credito;28;Jeans;
22041;23/06/14;RU;F;1;9;50;1;ETRO PROFUMERIA;Primavera - Estate 2014;Multicolor Etro;Donna;Carta di Credito;UNI;Pinza per capelli;
153428;16/12/18;IT;M;1;63;30;0;SUN 68;Autunno - Inverno 2018-2019;Blu scuro;Kids Boy;PayPal;6;Maglieria;
